"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.328746400E-2,-6.280950069E0,-2.396895027E1,-6.615000248E0,2.564603555E1
3.524939900E-2,-7.276950359E0,-2.308800125E1,-6.193050385E0,2.498727039E1
3.721392600E-2,-7.966950417E0,-2.232105064E1,-5.772000313E0,2.439298236E1
3.917693400E-2,-8.350950241E0,-2.163105011E1,-5.427000046E0,2.381371513E1
4.114038700E-2,-8.427000046E0,-2.098005104E1,-5.197050095E0,2.319884051E1
4.310326900E-2,-8.350950241E0,-2.048100090E1,-4.813050270E0,2.263570676E1
4.506631500E-2,-8.082000732E0,-2.017500114E1,-4.507050037E0,2.219601106E1
4.702989200E-2,-7.776000500E0,-1.998300171E1,-4.276950359E0,2.186501419E1
4.899331300E-2,-7.507050514E0,-1.979205132E1,-4.123950005E0,2.156590055E1
5.095669200E-2,-7.239000320E0,-1.960005188E1,-3.664050102E0,2.121297769E1
5.292008400E-2,-6.894000530E0,-1.960005188E1,-3.472050190E0,2.106524174E1
5.488310700E-2,-6.549000263E0,-1.960005188E1,-3.319050074E0,2.093006287E1
5.684623800E-2,-6.280950069E0,-1.971495056E1,-3.088950157E0,2.092059326E1
5.880917000E-2,-5.974050522E0,-1.979205132E1,-2.782050133E0,2.086035421E1
6.077216100E-2,-5.821050167E0,-1.986795044E1,-2.667000055E0,2.087421781E1
6.273538700E-2,-5.590950489E0,-1.990695000E1,-2.667000055E0,2.084845977E1
6.469854400E-2,-5.323050022E0,-2.009805107E1,-2.551950216E0,2.094705154E1
6.666142300E-2,-5.245950222E0,-2.013600159E1,-2.359950066E0,2.094153571E1
6.862438700E-2,-5.092950344E0,-2.005995178E1,-2.359950066E0,2.083048662E1
7.058766300E-2,-4.939050198E0,-1.998300171E1,-2.206950188E0,2.070229947E1
7.255084700E-2,-4.863000393E0,-1.986795044E1,-2.130000114E0,2.056504627E1
7.451372600E-2,-4.633050442E0,-1.971495056E1,-2.092050076E0,2.035979139E1
7.647669500E-2,-4.402950287E0,-1.956195068E1,-1.977000117E0,2.014855864E1
7.843994900E-2,-4.096050262E0,-1.936995125E1,-1.786050081E0,1.987869749E1
8.040313400E-2,-3.790050268E0,-1.914000130E1,-1.555950046E0,1.957358197E1
8.236619400E-2,-3.520950079E0,-1.879500008E1,-1.210950017E0,1.916025880E1
8.432929000E-2,-3.406050205E0,-1.852695084E1,-9.420000315E-1,1.886097689E1
8.629240800E-2,-3.214950085E0,-1.829700089E1,-7.890000343E-1,1.859404922E1
8.825551900E-2,-2.908050060E0,-1.798995018E1,-7.120500207E-1,1.823738133E1
9.021894200E-2,-2.485950232E0,-1.787505150E1,-5.590500236E-1,1.805574567E1
9.218227900E-2,-2.103000164E0,-1.760700035E1,-4.440000355E-1,1.773770580E1
9.414549300E-2,-1.834950089E0,-1.718505096E1,-1.369500011E-1,1.728328018E1
9.610874300E-2,-1.605000019E0,-1.664895058E1,1.300500035E-1,1.672664023E1
9.807120400E-2,-1.260000110E0,-1.611194992E1,4.750500321E-1,1.616812305E1
1.000338970E-1,-9.529500604E-1,-1.561395073E1,8.580000401E-1,1.566651637E1
1.019969070E-1,-6.469500065E-1,-1.515405083E1,1.050000072E0,1.520415407E1
1.039598220E-1,-3.780000210E-1,-1.465605068E1,1.165050030E0,1.470714273E1
1.059231070E-1,-1.870500147E-1,-1.423395061E1,1.240950108E0,1.428916705E1
1.078862830E-1,1.960500032E-1,-1.369695091E1,1.395000100E0,1.376920205E1
1.098503790E-1,5.020500422E-1,-1.319895077E1,1.471050024E0,1.329015966E1
1.118142060E-1,8.089500666E-1,-1.266300106E1,1.548000097E0,1.278289092E1
1.137773860E-1,1.192050099E0,-1.212600040E1,1.701000094E0,1.230261235E1
1.157407520E-1,1.422000051E0,-1.170405102E1,1.740000129E0,1.191782257E1
1.177039590E-1,1.690050125E0,-1.132095051E1,1.740000129E0,1.157790094E1
1.196672130E-1,1.959000111E0,-1.093800068E1,1.701000094E0,1.124148307E1
1.216306190E-1,2.149950027E0,-1.059300041E1,1.624950051E0,1.093043483E1
1.235939810E-1,2.304000139E0,-1.021005058E1,1.663050056E0,1.059807931E1
1.255575100E-1,2.304000139E0,-9.826050758E0,1.624950051E0,1.022253162E1
1.275209860E-1,2.304000139E0,-9.405000687E0,1.471050024E0,9.794204548E0
1.294843560E-1,2.265000105E0,-9.021000862E0,1.471050024E0,9.416616707E0
1.314477570E-1,2.341950178E0,-8.562000275E0,1.471050024E0,8.997586761E0
1.334111830E-1,2.457000017E0,-8.101950645E0,1.471050024E0,8.593162486E0
1.353746010E-1,2.494950056E0,-7.756950378E0,1.471050024E0,8.280038836E0
1.373378210E-1,2.610000134E0,-7.372950554E0,1.510050058E0,7.965723554E0
1.393010850E-1,2.839950085E0,-6.913050175E0,1.548000097E0,7.632292153E0
1.412643100E-1,3.070050240E0,-6.529950142E0,1.510050058E0,7.371954185E0
1.432275460E-1,3.415050268E0,-6.147000313E0,1.510050058E0,7.192248074E0
1.451905960E-1,3.682950258E0,-5.878950119E0,1.585950017E0,7.116278140E0
1.471537000E-1,3.952050209E0,-5.533950329E0,1.701000094E0,7.009758086E0
1.491170950E-1,4.219950199E0,-5.188950062E0,1.663050056E0,6.891945873E0
1.510803990E-1,4.450050354E0,-4.882050037E0,1.701000094E0,6.821346058E0
1.530436640E-1,4.564949989E0,-4.498950005E0,1.663050056E0,6.621559864E0
1.550069400E-1,4.717950344E0,-4.153950214E0,1.701000094E0,6.512124012E0
1.569698020E-1,4.603050232E0,-3.732000113E0,1.777950048E0,6.186841088E0
1.589327860E-1,4.527000427E0,-3.387000084E0,1.777950048E0,5.926770521E0
1.608959020E-1,4.372950077E0,-2.965950251E0,1.777950048E0,5.575003107E0
1.628589620E-1,3.913050175E0,-2.544000149E0,1.816050053E0,5.008186919E0
1.648216820E-1,3.300000191E0,-2.161050081E0,2.085000038E0,4.461766900E0
1.667845020E-1,2.802000046E0,-1.816050053E0,2.275950193E0,4.040939412E0
1.687476220E-1,2.533950090E0,-1.509000063E0,2.467950106E0,3.845615942E0
1.707106540E-1,2.419050217E0,-1.240950108E0,2.620950222E0,3.776392616E0
1.726738840E-1,2.457000017E0,-1.126049995E0,2.620950222E0,3.764866232E0
1.746370490E-1,2.380050182E0,-1.011000037E0,2.698050022E0,3.737142474E0
1.766003360E-1,2.304000139E0,-8.190000653E-1,2.659050226E0,3.612440429E0
1.785635870E-1,2.227050066E0,-7.429500222E-1,2.583000183E0,3.490503786E0
1.805268160E-1,2.149950027E0,-6.280500293E-1,2.583000183E0,3.418862663E0
1.824900510E-1,2.149950027E0,-4.740000367E-1,2.620950222E0,3.422914142E0
1.844530770E-1,2.035050154E0,-3.210000098E-1,2.545050144E0,3.274408400E0
1.864161810E-1,2.035050154E0,-2.059500068E-1,2.430000067E0,3.176278460E0
1.883788920E-1,1.996950150E0,-1.680000126E-1,2.353049994E0,3.090773071E0
1.903417190E-1,2.074050188E0,-9.105000645E-2,2.161050081E0,2.996683457E0
1.923038930E-1,1.996950150E0,2.295000106E-2,1.893000126E0,2.751687860E0
1.942662580E-1,1.959000111E0,1.380000114E-1,1.701000094E0,2.598100606E0
1.962293050E-1,1.882050037E0,2.910000086E-1,1.471050024E0,2.406404272E0
1.981921310E-1,1.882050037E0,3.679500222E-1,1.240950108E0,2.284175285E0
2.001554760E-1,1.729050040E0,4.830000103E-1,8.580000401E-1,1.989740466E0
2.021186690E-1,1.614000082E0,7.510500550E-1,6.660000086E-1,1.900691574E0
2.040826280E-1,1.575000048E0,8.659500480E-1,3.979500234E-1,1.840885346E0
2.060463620E-1,1.537050128E0,9.040500522E-1,5.295000225E-2,1.783993637E0
2.080091320E-1,1.498950124E0,1.057950020E0,-2.140500098E-1,1.847140256E0
