"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.593376800E-2,9.619500637E-1,-7.105050564E0,1.893000126E0,7.415560728E0
3.789507500E-2,7.699500322E-1,-7.219950199E0,1.510050058E0,7.416249396E0
3.985907600E-2,5.790000558E-1,-7.219950199E0,1.165050030E0,7.336229516E0
4.182176900E-2,3.870000243E-1,-7.219950199E0,6.280500293E-1,7.257540681E0
4.378484500E-2,2.719500065E-1,-7.182000160E0,2.449500114E-1,7.191320019E0
4.574776600E-2,1.189500093E-1,-7.066950321E0,-2.205000073E-2,7.067985721E0
4.771074800E-2,1.570500135E-1,-7.027950287E0,-2.140500098E-1,7.032962914E0
4.967379500E-2,1.960500032E-1,-6.913050175E0,-2.910000086E-1,6.921949099E0
5.163682200E-2,3.109500110E-1,-6.798000336E0,-2.910000086E-1,6.811327292E0
5.360013300E-2,3.870000243E-1,-6.607050419E0,-2.140500098E-1,6.621835219E0
5.556336100E-2,5.790000558E-1,-6.454050541E0,-6.105000153E-2,6.480257445E0
5.752637500E-2,7.699500322E-1,-6.147000313E0,9.195000678E-2,6.195715512E0
5.948947900E-2,1.039050102E0,-5.878950119E0,2.830500007E-1,5.976771446E0
6.145196500E-2,1.230000019E0,-5.572050095E0,6.280500293E-1,5.740652327E0
6.341463300E-2,1.384050012E0,-5.149950027E0,9.349500537E-1,5.414029121E0
6.537764400E-2,1.575000048E0,-4.729050159E0,1.240950108E0,5.136584247E0
6.734055400E-2,1.804950118E0,-4.306950092E0,1.471050024E0,4.896085395E0
6.930364000E-2,2.074050188E0,-3.808950186E0,1.510050058E0,4.592389017E0
7.126668800E-2,2.188950062E0,-3.349050045E0,1.510050058E0,4.276434234E0
7.322990500E-2,2.304000139E0,-2.889000177E0,1.548000097E0,4.006375290E0
7.519307200E-2,2.457000017E0,-2.544000149E0,1.471050024E0,3.830505713E0
7.715599900E-2,2.572050095E0,-2.083950043E0,1.471050024E0,3.622468446E0
7.911899700E-2,2.725050211E0,-1.663050056E0,1.279950023E0,3.439463069E0
8.108224800E-2,2.917050123E0,-1.393950105E0,1.050000072E0,3.399232041E0
8.304543800E-2,3.147000074E0,-1.011000037E0,7.810500264E-1,3.396434850E0
8.500921600E-2,3.453000069E0,-5.890500546E-1,3.979500234E-1,3.525415389E0
8.697282200E-2,3.760050297E0,-2.059500068E-1,1.300500035E-1,3.767931348E0
8.893472800E-2,3.952050209E0,2.295000106E-2,-2.140500098E-1,3.957909166E0
9.089713200E-2,4.182000160E0,5.590500236E-1,-5.590500236E-1,4.256077913E0
9.286047500E-2,4.335000038E0,1.096050024E0,-9.810000658E-1,4.577762785E0
9.482356300E-2,4.372950077E0,1.518000126E0,-1.479000092E0,4.859470962E0
9.678681800E-2,4.564949989E0,1.900950074E0,-1.977000117E0,5.325496132E0
9.875002400E-2,4.756950378E0,2.245950222E0,-2.245050192E0,5.719538414E0
1.007130350E-1,4.948050022E0,2.706000090E0,-2.437050104E0,6.143683644E0
1.026761030E-1,5.215950012E0,3.051000118E0,-2.551950216E0,6.559511122E0
1.046391320E-1,5.485050201E0,3.433950186E0,-2.667000055E0,6.999334174E0
1.066022070E-1,5.752950191E0,3.856050253E0,-2.820000172E0,7.477831265E0
1.085651050E-1,6.021000385E0,4.315950394E0,-2.935050249E0,7.968336928E0
1.105280550E-1,6.289950371E0,4.736999989E0,-3.049950123E0,8.444219343E0
1.124908390E-1,6.595950127E0,5.119950294E0,-2.896950245E0,8.838142894E0
1.144536710E-1,6.865050316E0,5.389050484E0,-2.322000027E0,9.031194001E0
1.164160190E-1,6.940950394E0,5.734050274E0,-1.134000063E0,9.074253746E0
1.183785120E-1,6.903000355E0,6.270000458E0,4.750500321E-1,9.337558148E0
1.203410120E-1,6.979950428E0,6.844950199E0,2.467950106E0,1.008284825E1
1.223035100E-1,6.787950516E0,7.612050533E0,4.729050159E0,1.124204167E1
1.242666410E-1,6.481050491E0,8.340000153E0,6.684000492E0,1.249941921E1
1.262295870E-1,5.983050346E0,9.259950638E0,8.025000572E0,1.363613624E1
1.281926820E-1,5.560950279E0,1.025595093E1,8.715000153E0,1.456227747E1
1.301557360E-1,5.523000240E0,1.113795090E1,8.944950104E0,1.531566565E1
1.321186830E-1,5.560950279E0,1.190400028E1,8.907000542E0,1.587337549E1
1.340816610E-1,5.485050201E0,1.267095089E1,8.332050323E0,1.612643280E1
1.360445740E-1,5.446050167E0,1.332300091E1,7.374000549E0,1.617212725E1
1.380075070E-1,5.140050411E0,1.412700081E1,5.841000080E0,1.612791220E1
1.399705690E-1,4.756950378E0,1.527705097E1,3.963000298E0,1.648399935E1
1.419336200E-1,4.105050087E0,1.657995033E1,2.046000004E0,1.720268308E1
1.438976020E-1,2.992950201E0,1.842000008E1,1.500000060E-2,1.866157493E1
1.458613120E-1,1.651950121E0,2.018295097E1,-2.284050226E0,2.037884527E1
1.478232000E-1,1.570500135E-1,2.229105186E1,-4.123950005E0,2.266986153E1
1.497856220E-1,-1.642950058E0,2.424600029E1,-6.078000069E0,2.505014770E1
1.517487600E-1,-3.904950142E0,2.662200165E1,-8.646000862E0,2.826186367E1
1.537116920E-1,-6.664050102E0,2.961195183E1,-1.071600056E1,3.218866140E1
1.556744790E-1,-9.807000160E0,3.267795181E1,-1.286205101E1,3.646173533E1
1.576373090E-1,-1.241295052E1,3.555300140E1,-1.389705086E1,4.014007065E1
1.596003820E-1,-1.459800053E1,3.835005188E1,-1.336005020E1,4.315459466E1
1.615633840E-1,-1.624604988E1,4.084200287E1,-1.155900097E1,4.544902462E1
1.635261500E-1,-1.751100159E1,4.283505249E1,-1.040895081E1,4.743230076E1
1.654889920E-1,-1.866105080E1,4.490400314E1,-9.183000565E0,4.948668320E1
1.674519280E-1,-1.935105133E1,4.632300186E1,-8.953050613E0,5.099451740E1
1.694148360E-1,-2.000205040E1,4.697400284E1,-9.106050491E0,5.186095948E1
1.713778970E-1,-2.007900047E1,4.678305054E1,-9.451050758E0,5.177974930E1
1.733409130E-1,-1.957995033E1,4.601595306E1,-9.489000320E0,5.090072218E1
1.753038280E-1,-1.866105080E1,4.456005096E1,-9.220950127E0,4.918189586E1
1.772668000E-1,-1.720395088E1,4.249005127E1,-8.761050224E0,4.667050872E1
1.792298480E-1,-1.528800106E1,4.007505035E1,-8.646000862E0,4.375483937E1
1.811928740E-1,-1.348605061E1,3.746895218E1,-8.838000298E0,4.079100621E1
1.831556460E-1,-1.191495037E1,3.501600266E1,-8.953050613E0,3.805579587E1
1.851184920E-1,-1.030500031E1,3.271605301E1,-8.608050346E0,3.536427133E1
1.870813630E-1,-8.925000191E0,3.060795212E1,-8.148000717E0,3.290732862E1
1.890442400E-1,-7.621950150E0,2.865405083E1,-7.687950134E0,3.063092114E1
1.910071710E-1,-6.357000351E0,2.692905045E1,-7.381050587E0,2.863677913E1
1.929700860E-1,-5.208000183E0,2.547195053E1,-7.420050144E0,2.703702413E1
1.949328770E-1,-4.288050175E0,2.424600029E1,-7.726050377E0,2.580596363E1
1.968957040E-1,-3.330000162E0,2.298105049E1,-8.032950401E0,2.457124081E1
1.988587840E-1,-2.026050091E0,2.194605064E1,-8.416049957E0,2.359160687E1
2.008218170E-1,-6.850500107E-1,2.110305023E1,-8.991000175E0,2.294877136E1
2.027855780E-1,3.109500110E-1,2.022105026E1,-9.681000710E0,2.242118057E1
2.047491250E-1,1.306950092E0,1.949295044E1,-1.021800041E1,2.204746624E1
2.067119420E-1,2.149950027E0,1.876500130E1,-1.060095024E1,2.165935606E1
2.086749730E-1,2.878050089E0,1.815195084E1,-1.102200031E1,2.143037523E1
2.106379130E-1,3.492000103E0,1.757700157E1,-1.125195026E1,2.116013785E1
2.126008870E-1,4.027950287E0,1.704000092E1,-1.148205090E1,2.093856508E1
2.145641160E-1,4.335000038E0,1.642695045E1,-1.182705021E1,2.070062905E1
