"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.778351200E-2,3.490500152E-1,4.468950272E0,8.791950226E0,9.868725410E0
3.974561200E-2,3.109500110E-1,4.468950272E0,8.754000664E0,9.833653139E0
4.171028200E-2,3.870000243E-1,4.507050037E0,8.791950226E0,9.887449511E0
4.367313000E-2,3.490500152E-1,4.545000076E0,8.791950226E0,9.903395901E0
4.563651200E-2,3.490500152E-1,4.507050037E0,8.791950226E0,9.886036856E0
4.759969800E-2,3.870000243E-1,4.507050037E0,8.754000664E0,9.853719941E0
4.956295500E-2,3.490500152E-1,4.468950272E0,8.754000664E0,9.834931625E0
5.152613600E-2,3.870000243E-1,4.468950272E0,8.754000664E0,9.836351619E0
5.348933900E-2,3.109500110E-1,4.507050037E0,8.791950226E0,9.884764981E0
5.545261900E-2,3.109500110E-1,4.468950272E0,8.754000664E0,9.833653139E0
5.741587600E-2,3.490500152E-1,4.468950272E0,8.754000664E0,9.834931625E0
5.937886900E-2,2.719500065E-1,4.468950272E0,8.791950226E0,9.866299312E0
6.134197800E-2,3.109500110E-1,4.507050037E0,8.754000664E0,9.851026219E0
6.330504900E-2,3.490500152E-1,4.468950272E0,8.754000664E0,9.834931625E0
6.526813200E-2,3.490500152E-1,4.507050037E0,8.754000664E0,9.852302450E0
6.723138700E-2,3.109500110E-1,4.468950272E0,8.791950226E0,9.867451303E0
6.919459100E-2,3.490500152E-1,4.468950272E0,8.715000153E0,9.800233676E0
7.115763800E-2,3.109500110E-1,4.468950272E0,8.715000153E0,9.798950663E0
7.312073800E-2,3.109500110E-1,4.431000233E0,8.754000664E0,9.816464771E0
7.508381100E-2,3.109500110E-1,4.431000233E0,8.715000153E0,9.781701316E0
7.704689200E-2,3.490500152E-1,4.431000233E0,8.754000664E0,9.817745495E0
7.900996800E-2,3.870000243E-1,4.392000198E0,8.830050468E0,9.869611240E0
8.097304600E-2,3.870000243E-1,4.354050159E0,8.754000664E0,9.784684432E0
8.293593200E-2,3.490500152E-1,4.431000233E0,8.754000664E0,9.817745495E0
8.489888200E-2,3.490500152E-1,4.392000198E0,8.791950226E0,9.834118691E0
8.686193500E-2,3.490500152E-1,4.431000233E0,8.791950226E0,9.851598233E0
8.882495700E-2,3.870000243E-1,4.431000233E0,8.830050468E0,9.887028035E0
9.078786400E-2,3.490500152E-1,4.392000198E0,8.754000664E0,9.800205573E0
9.275080500E-2,3.490500152E-1,4.392000198E0,8.869050026E0,9.903108099E0
9.471393400E-2,3.490500152E-1,4.354050159E0,8.907000542E0,9.920395524E0
9.667701900E-2,4.260000288E-1,4.354050159E0,8.907000542E0,9.923401003E0
9.864041000E-2,3.870000243E-1,4.354050159E0,8.944950104E0,9.955885404E0
1.006037110E-1,3.870000243E-1,4.392000198E0,8.944950104E0,9.972540655E0
1.025669760E-1,3.870000243E-1,4.354050159E0,8.907000542E0,9.921803287E0
1.045302520E-1,3.490500152E-1,4.431000233E0,8.983950615E0,1.002332119E1
1.064934220E-1,3.870000243E-1,4.392000198E0,8.983950615E0,1.000753733E1
1.084566600E-1,3.870000243E-1,4.431000233E0,9.022050858E0,1.005887338E1
1.104197090E-1,3.870000243E-1,4.431000233E0,8.983950615E0,1.002471450E1
