"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.436558500E-2,-3.483000278E0,1.041000080E1,4.750500321E-1,1.098749654E1
3.632605900E-2,-3.520950079E0,1.048605061E1,4.750500321E-1,1.107158612E1
3.828920100E-2,-3.520950079E0,1.056300068E1,3.979500234E-1,1.114147374E1
4.025046400E-2,-3.559950113E0,1.056300068E1,3.979500234E-1,1.115385998E1
4.221227700E-2,-3.598050117E0,1.060095024E1,4.360500276E-1,1.120340351E1
4.417376300E-2,-3.559950113E0,1.063995075E1,5.130000114E-1,1.123142760E1
4.613534900E-2,-3.598050117E0,1.067805004E1,5.509500504E-1,1.128141229E1
4.809782500E-2,-3.675000191E0,1.071600056E1,5.130000114E-1,1.134025852E1
5.006004000E-2,-3.828000069E0,1.060095024E1,-1.759500057E-1,1.127229741E1
5.202074200E-2,-3.636000156E0,1.067805004E1,-2.520000041E-1,1.128294083E1
5.398188800E-2,-3.445050240E0,1.071600056E1,9.730500579E-1,1.129813549E1
5.594346800E-2,-3.636000156E0,1.083105087E1,1.165050030E0,1.148431547E1
5.790493800E-2,-3.751050234E0,1.098495007E1,9.730500579E-1,1.164844763E1
5.986630900E-2,-3.751050234E0,1.098495007E1,7.810500264E-1,1.163398233E1
6.182770900E-2,-3.712950230E0,1.098495007E1,5.130000114E-1,1.160682111E1
6.379012700E-2,-3.828000069E0,1.090800095E1,5.295000225E-2,1.156031457E1
6.575224600E-2,-3.943050146E0,1.079295063E1,-8.659500480E-1,1.152325029E1
6.771282500E-2,-3.483000278E0,1.087005043E1,1.500000060E-2,1.141444314E1
6.967385800E-2,-3.483000278E0,1.090800095E1,8.959500194E-1,1.148557800E1
7.163530200E-2,-3.520950079E0,1.094595051E1,1.011000037E0,1.154266187E1
7.359662500E-2,-3.559950113E0,1.087005043E1,8.200500607E-1,1.146750728E1
7.555910200E-2,-3.520950079E0,1.079295063E1,3.979500234E-1,1.135971993E1
7.752124100E-2,-3.790050268E0,1.052505016E1,-7.890000343E-1,1.121444083E1
7.948188700E-2,-3.138000250E0,1.060095024E1,2.070000172E-1,1.105757842E1
8.144298800E-2,-3.061050177E0,1.060095024E1,7.429500222E-1,1.105903020E1
8.340442000E-2,-3.175950050E0,1.060095024E1,7.429500222E-1,1.109138312E1
8.536575500E-2,-3.100050211E0,1.060095024E1,5.899500251E-1,1.106067350E1
8.732841000E-2,-3.100050211E0,1.056300068E1,3.979500234E-1,1.101570056E1
8.929067800E-2,-3.406050205E0,1.010295010E1,-9.420000315E-1,1.070318376E1
9.125209000E-2,-2.985000134E0,1.014105034E1,-9.420000315E-1,1.061312828E1
9.321378600E-2,-2.830950022E0,1.006500053E1,-2.205000073E-2,1.045557268E1
9.517547800E-2,-2.869950056E0,9.988050461E0,1.500000060E-2,1.039220815E1
9.713717100E-2,-2.755050182E0,1.002600002E1,2.070000172E-1,1.039970322E1
9.909809700E-2,-2.716050148E0,9.910950661E0,3.600000143E-1,1.028267822E1
1.010592480E-1,-2.677950144E0,9.873000145E0,3.220500052E-1,1.023480655E1
1.030219770E-1,-2.601000071E0,9.796050072E0,3.220500052E-1,1.014058749E1
1.049842450E-1,-2.524950027E0,9.757950783E0,2.449500114E-1,1.008231008E1
1.069460200E-1,-2.485950232E0,9.720000267E0,2.449500114E-1,1.003585344E1
1.089079390E-1,-2.448000193E0,9.643050194E0,2.070000172E-1,9.951078886E0
1.108695920E-1,-2.371050119E0,9.528000832E0,2.070000172E-1,9.820770210E0
1.128313230E-1,-2.371050119E0,9.490050316E0,2.070000172E-1,9.783955370E0
1.147931880E-1,-2.295000076E0,9.375000000E0,2.449500114E-1,9.654928838E0
1.167550140E-1,-2.179949999E0,9.259950638E0,1.300500035E-1,9.513978180E0
1.187165040E-1,-2.065050125E0,9.220950127E0,1.680000126E-1,9.450850610E0
1.206780930E-1,-2.065050125E0,9.183000565E0,2.449500114E-1,9.415515488E0
1.226396230E-1,-1.987950087E0,9.106050491E0,1.680000126E-1,9.322034386E0
1.246011700E-1,-1.834950089E0,8.991000175E0,1.680000126E-1,9.177872847E0
1.265628720E-1,-1.720050097E0,8.914950371E0,2.070000172E-1,9.081726788E0
1.285245380E-1,-1.528050065E0,8.838000298E0,1.300500035E-1,8.970066848E0
1.304862350E-1,-1.489950061E0,8.838000298E0,9.195000678E-2,8.963183321E0
1.324479230E-1,-1.297950029E0,8.761950493E0,9.195000678E-2,8.858041856E0
1.344097510E-1,-1.222050071E0,8.685000420E0,5.295000225E-2,8.770715043E0
1.363715380E-1,-1.183050036E0,8.647050858E0,1.300500035E-1,8.728574278E0
1.383332460E-1,-1.068000078E0,8.647050858E0,9.195000678E-2,8.713240930E0
1.402949880E-1,-1.106999993E0,8.569950104E0,5.295000225E-2,8.641313411E0
